Data inizio,Data fine,Lunghezza periodo (giorni),Soldi in banca iniziali ($),Deposito iniziale ($),Investimento base,Strategia Giacomo,Percentuale ritiro eccesso,Tempo controllo,Strategia VA,Vendita VA,Prima VA,Tempo acquisto VA,Quantità VA,Liquidità cumulativa finale,Ricarica cumulativa finale,Deposito finale ($),Deposito + liquidità cumulativa finali ($),Bitcoin finali,Bitcoin finali ($),Deposito + bitcoin + liquidità cumulativa finali ($),Max delta neg su deposito + liquidità ($),Max delta pos su deposito + liquidità ($),Tasse pagate,Guadagno finale su deposito + bitcoin + liquidità cumulativa ($),Guadagno / max_delta_neg,Guadagno - max_delta_neg
2020-02-01,2021-11-01,639,99000,1000,995,True,1,298,True,False,False,1,1000,-51574.50351516002,1237295.6022600932,118589.43653963256,67014.93302447254,14.83164340275779,911728.8323409274,978743.7653654,197559.76523529505,171683.26495394163,5095.383041171661,977745.7553654,4.9491137742591365,780185.9901301049
2020-02-01,2021-11-01,639,99000,1000,992,True,1,248,True,True,True,1,1000,-96310.45166322018,3590112.1523412853,286493.2967159389,190182.8450527187,10.394998817826446,638999.9999999999,829182.8450527185,196741.7235027163,480266.55673212255,14772.326953377325,828184.8290527186,4.209502764883953,631443.1055500023
2020-02-01,2021-11-01,639,99000,1000,993,True,1,222,True,False,False,1,1000,-25765.136277989135,1238811.4173517383,310917.47513747914,285152.33885949,17.883415210116627,1099326.9474612572,1384479.2863207473,198461.5018684239,662224.5543136295,5538.599546218371,1383481.2723207474,6.971030952078396,1185019.7704523234
2020-02-01,2021-11-01,639,99000,1000,992,True,1,221,True,True,True,1,1000,-67990.17481239043,3484055.0613299045,286493.2967159389,218503.12190354848,10.394998817826446,638999.9999999999,857503.1219035482,201501.06475117322,669485.6558501788,14404.002494114942,856505.1059035483,4.250623226042092,655004.041152375
2020-02-01,2021-11-01,639,99000,1000,996,True,1,253,True,True,False,1,1000,-95305.07210577629,3608211.8608447243,286493.2967159389,191188.2246101626,10.394998817826446,638999.9999999999,830188.2246101624,198337.02943080978,266720.05489142844,14846.901695991197,829190.2166101624,4.180713097245549,630853.1871793526
2020-02-01,2021-11-01,639,99000,1000,991,True,1,252,True,False,True,1,1000,-68416.30814887327,1073330.8707987221,69562.51238246582,1146.2042335925507,17.883415210116627,1099326.9474612572,1100473.1516948498,197559.78660768794,621276.4605752082,4306.192276214503,1099475.13369485,5.565277997987391,901915.347087162
2020-02-01,2021-11-01,639,99000,1000,996,True,1,274,True,True,False,1,1000,-93369.0561057762,3646115.6487415894,284405.66556435137,191036.60945857517,10.394998817826446,638999.9999999999,830036.609458575,198337.02943080978,266636.05489142856,14998.51684757866,829038.601458575,4.17994866534888,630701.5720277652
2020-02-01,2021-11-01,639,99000,1000,993,True,1,219,True,False,False,1,1000,-24728.445404876315,1292176.1542130497,436940.6084210512,412212.16301617486,17.883415210116627,1099326.9474612572,1511539.1104774321,198424.81099531107,852331.1097886334,6007.11517323101,1510541.0964774322,7.612662392875493,1312116.2854821212
2020-02-01,2021-11-01,639,99000,1000,995,True,1,256,True,True,False,1,1000,-95326.73654003182,3613627.490754873,286493.2967159389,191166.56017590707,10.394998817826446,638999.9999999999,830166.5601759069,198337.03134542482,266722.39445717295,14868.560203778856,829168.5501759069,4.180603816398878,630831.518830482
2020-02-01,2021-11-01,639,99000,1000,995,True,1,244,True,True,False,1,1000,-95180.18577438465,3576989.799343066,286493.2967159389,191313.11094155425,10.394998817826446,638999.9999999999,830313.1109415541,199292.15509941822,266772.94522282016,14722.009438131632,829315.1009415541,4.161303291280305,630022.9458421358
2020-02-01,2021-11-01,639,99000,1000,999,True,1,244,True,True,False,1,1000,-95180.14611592446,3576981.799343066,286493.2967159389,191313.15060001443,10.394998817826446,638999.9999999999,830313.1506000143,199292.1314409581,266772.9688812803,14721.993485543375,829315.1486000143,4.1613040244175705,630023.0171590562
2020-02-01,2021-11-01,639,99000,1000,999,True,1,203,True,False,True,1,1000,2631.5652575382846,1878016.134879917,530824.1064652895,533455.6717228277,12.767446071597373,784838.7655186487,1318294.4372414765,201064.80033289647,1142683.0693601682,8598.168219404131,1317296.4352414764,6.551601439239844,1116231.63490858
2020-02-01,2021-11-01,639,99000,1000,996,True,1,281,True,False,True,1,1000,-67559.76196747576,1156115.0415927935,126699.68079466006,59139.9188271843,14.83164340275779,911728.8323409274,970868.7511681118,197559.76196747576,732498.6294804866,4754.232468963468,969870.7431681118,4.909252438397762,772310.981200636
2020-02-01,2021-11-01,639,99000,1000,1000,True,1,229,True,True,True,1,1000,-64811.92121255818,3506059.039253148,286493.2967159389,221681.37550338072,10.394998817826446,638999.9999999999,860681.3755033806,198951.70258337838,655107.2202397535,14498.596100219793,859683.3755033806,4.3210656875032125,660731.6729200021
2020-02-01,2021-11-01,639,99000,1000,995,True,1,271,True,True,False,1,1000,-94323.62551398316,3653854.734242709,285329.27671593893,191005.65120195577,10.394998817826446,638999.9999999999,830005.6512019556,198337.03134542482,266681.4854832216,15029.469177730201,829007.6412019556,4.179792525774733,630670.6098565308
2020-02-01,2021-11-01,639,99000,1000,996,True,1,239,True,True,False,1,1000,-95003.76501619813,3532885.0884502013,286493.2967159389,191489.53169974076,10.394998817826446,638999.9999999999,830489.5316997406,199289.04543080978,266776.05489142856,14545.594606413111,829491.5236997405,4.162253484162168,630202.4782689307
2020-02-01,2021-11-01,639,99000,1000,991,True,1,262,True,True,True,1,1000,-115337.9393638224,3637180.5597329778,286493.2967159389,171155.3573521165,10.394998817826446,638999.9999999999,810155.3573521164,198337.05151136598,427600.6564756148,14922.842638913966,809157.3393521163,4.079708421528826,610820.2878407503
2020-02-01,2021-11-01,639,99000,1000,997,True,1,253,True,True,False,1,1000,-95305.06219116121,3608209.8608447234,286493.2967159389,191188.23452477768,10.394998817826446,638999.9999999999,830188.2345247775,198337.02751619474,266720.06080604356,14846.897707844131,829190.2285247775,4.180713197675971,630853.2010085827
2020-02-01,2021-11-01,639,99000,1000,994,True,1,293,True,True,False,1,1000,-93440.40166383519,3714719.8443911676,284202.590510582,190762.18884674684,10.394998817826446,638999.9999999999,829762.1888467467,198337.0336964032,266564.70933336957,15272.925606471099,828764.1768467467,4.1785649477613225,630427.1431503436
2020-02-01,2021-11-01,639,99000,1000,995,True,1,295,True,True,True,1,1000,-88741.39673346613,3716055.0850677867,297620.7047575048,208879.30802403868,10.394998817826446,638999.9999999999,847879.3080240386,198337.03134542482,637421.574174651,15314.588132584387,846881.2980240386,4.269910123587086,648544.2666786137
2020-02-01,2021-11-01,639,99000,1000,991,True,1,249,True,False,False,1,1000,-64848.98983352582,1063653.8533966958,79657.96430354382,14808.974470018002,17.883415210116627,1099326.9474612572,1114135.9219312752,198545.35542396057,138135.324489526,4294.786936399618,1113137.9039312752,5.606466600814481,914592.5485073146
2020-02-01,2021-11-01,639,99000,1000,991,True,1,248,True,False,True,1,1000,-61243.391493546485,1085295.3242923988,87521.28762876641,26277.896135219926,17.883415210116627,1099326.9474612572,1125604.843596477,195939.75708398124,669275.5380402063,4404.510109659353,1124606.8255964771,5.739554046269753,928667.0685124958
2020-02-01,2021-11-01,639,99000,1000,992,True,1,232,True,False,True,1,1000,-38054.75982083246,1256010.8666015782,383571.92019903363,345517.16037820117,17.883415210116627,1099326.9474612572,1444844.1078394584,194751.12541126722,1168235.3514714576,5728.5027927482115,1443846.0918394583,7.413801018044979,1249094.9664281912
2020-02-01,2021-11-01,639,99000,1000,993,True,1,252,True,True,True,1,1000,-96146.39901651873,3602000.7627530354,286493.2967159389,190346.89769942017,10.394998817826446,638999.9999999999,829346.89769942,198337.03963472415,461062.382697806,14820.309465341656,828348.88369942,4.176470946752982,630011.8440646959
2020-02-01,2021-11-01,639,99000,1000,991,True,1,243,True,True,False,1,1000,-95175.182369707,3575737.0335586187,286493.2967159389,191318.1143462319,10.394998817826446,638999.9999999999,830318.1143462317,199295.13569474066,266769.9646274977,14716.982327582098,829320.0963462316,4.161266121499809,630024.960651491
2020-02-01,2021-11-01,639,99000,1000,1000,True,1,281,True,True,False,1,1000,-93340.45853355134,3676299.697146081,284256.3394569687,190915.88092341737,10.394998817826446,638999.9999999999,829915.8809234173,198337.02177234966,266664.6524636534,15119.269088608366,828917.8809234173,4.179340163103011,630580.8591510677
2020-02-01,2021-11-01,639,99000,1000,1000,True,1,297,True,False,False,1,1000,-55626.50095499547,1221246.785491468,114673.9051133364,59047.40415834093,14.831643402757788,911728.8323409273,970776.2364992682,197559.74889619852,160931.74801662198,5015.112174631818,969778.2364992682,4.908784516672004,772218.4876030697
2020-02-01,2021-11-01,639,99000,1000,999,True,1,235,True,False,False,1,1000,-42775.12356743519,1173800.7487220152,196229.78046309203,153454.65689565684,17.883415210116627,1099326.9474612572,1252781.604356914,198471.48915786995,426688.49489601864,5014.13658184306,1251783.602356914,6.307120522289271,1053312.113199044
2020-02-01,2021-11-01,639,99000,1000,999,True,1,254,True,True,True,1,1000,-117593.12398134713,3613154.6210505697,286493.2967159389,168900.17273459176,10.394998817826446,638999.9999999999,807900.1727345916,198337.0236869647,416084.6693035933,14822.058947566591,806902.1707345917,4.068338607360193,608565.147047627
