coef_liquidity_in,coef_liquidity_out,dynamical_variables,func_monitor,mobile_window,timeframe,timeframe_grid_search,weighting_factor,window_grid_search,fattore_rendimento_totale,volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio
0.5,0.5,{},mstd_returns_prices,12,336,-1,0.5,168,584.6802226828675,0.3123251789814402,64.15107900060163,0.7389172601574435,1.344668751071106,909.8525414941088
0.5,1.5,{},mstd_returns_prices,12,336,-1,0.5,168,561.9909078886938,0.3112238818824939,64.15107900060163,0.7367761538209355,1.3400110187861654,874.4839784899527
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,312,-1,0.0,336,554.7583662088244,0.3432315204977514,72.82251210591505,0.7018074998799969,1.2425492849414372,760.4219494699979
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0.0,720,553.1350496842991,0.3513382486914239,68.19470819029428,0.6880792438347648,1.2500610837047128,809.6450066823236
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0.0,360,551.4116986691795,0.3488964836654035,68.19470819029428,0.6902938745943831,1.2532638047756035,807.1179029511796
0.0,inf,{},mstd_ma_returns_prices,168,336,-1,1.0,360,543.1605626294373,0.4164533326058347,70.24804502006909,0.6318967161737447,1.23062164575402,771.7802858065987
0.0,1.0,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,168,312,-1,0.0,336,540.3854985365335,0.3418725487992542,72.72005679987463,0.7010281914201452,1.2412821236430536,741.7286540643399
0.5,2.5,{},mstd_returns_prices,12,336,-1,0.5,168,539.3015930945201,0.3101206717106972,64.15107900060163,0.7344744122396182,1.33499808845967,839.1154154857967
1.0,1.0,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf], 'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,24,0.0,720,533.2244809493993,0.3508415601940894,69.23528368250786,0.6850888865255755,1.245875804624137,768.7185675298456
0.5,3.5,{},mstd_returns_prices,12,336,-1,0.5,168,516.6122783003462,0.309013719738838,64.15107900060163,0.7319996761522991,1.329606533008147,803.7468524816405
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,168,408,-1,0.0,336,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,168,408,-1,0.0,360,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,1.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,168,408,-1,0.0,360,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,5.0,{},ma_returns_prices,168,408,-1,0.0,168,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,168,408,-1,0.0,168,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,1.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,168,408,-1,0.0,168,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,1.0,{},ma_returns_prices,168,408,-1,0.0,168,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,0.0,{},ma_returns_prices,168,408,-1,0.0,168,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.0,1.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,168,408,-1,0.0,336,509.66598572217214,0.2887394726894881,66.50584385915123,0.7673423010725982,1.3131048085485904,764.8440440804654
0.5,4.5,{},mstd_returns_prices,12,336,-1,0.5,168,493.9229635061727,0.3079012502184037,64.15107900060163,0.7293375130195571,1.3238087766879945,768.3782894774847
0.5,5.5,{},mstd_returns_prices,12,336,-1,0.5,168,471.2336487119986,0.3067815520438804,64.15107900060163,0.7264710158689118,1.3175723190601911,733.0097264733281
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,24,0.0,720,459.8594041224559,0.3605389204242654,70.24804502006909,0.663888493315933,1.2070507131579395,653.1988242396851
0.0,0.0,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,312,-1,0.0,336,449.5957694190551,0.3286329634583904,59.325809903065306,0.699641254690412,1.2379338858847573,756.1561656756692
1.0,1.0,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,336,-1,0.0,720,444.6223984380754,0.3375309116533677,68.19470819029428,0.6838091969101666,1.228326137926156,650.5232007154677
0.0,1.0,"{'weighting_factor': [0, 0.5, 1]}",mstd_returns_prices,48,312,-1,0.0,336,433.2098864891617,0.3250359984493314,59.325809903065306,0.7005061561970674,1.2376190150333015,728.536006833056
1.0,1.0,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf], 'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0.0,720,410.0589850519367,0.3392930561953823,68.19470819029428,0.674847855538698,1.2039319079763389,599.83977629243
1.5,0.5,{},mstd_returns_prices,12,336,-1,0.5,168,406.1108421803017,0.2807200953602681,64.15107900060163,0.7511823946953922,1.3693606763442483,631.4949779356049
