timestamp,BTC,ETH,SOL,DOGE,LINK,AXS
2021-01-03 17:00:00,32909.27,935.54,1.9699,0.0109876,13.009,0.55916
2021-01-03 18:00:00,32769.76,917.54,1.9951,0.010679,12.9382,0.56365
2021-01-03 19:00:00,32772.21,921.53,1.9638,0.009759,13.0215,0.5748
2021-01-03 20:00:00,33726.21,946.37,2.009,0.0106351,13.1835,0.56617
2021-01-03 21:00:00,33558.34,949.77,2.0212,0.0104825,13.3597,0.5683
2021-01-03 22:00:00,33119.14,991.55,2.0757,0.01015,13.95,0.56417
2021-01-03 23:00:00,33000.05,978.28,2.1779,0.0098209,13.6814,0.56523
2021-01-04 00:00:00,32843.88,975.8,2.2241,0.0101846,14.3298,0.58395
2021-01-04 01:00:00,33191.04,966.96,2.2977,0.010456,13.9779,0.57618
2021-01-04 02:00:00,33454.22,979.39,2.311,0.0111323,14.1714,0.57449
2021-01-04 03:00:00,33505.16,1021.41,2.3094,0.011076,14.5327,0.57601
2021-01-04 04:00:00,33257.55,1027.69,2.3427,0.0106773,14.6786,0.60874
2021-01-04 05:00:00,32813.01,1084.18,2.2809,0.0100671,15.2105,0.61
2021-01-04 06:00:00,33100.02,1105.0,2.2537,0.0100136,14.9176,0.59595
2021-01-04 07:00:00,32068.84,1044.31,2.1168,0.0095438,14.2992,0.5905
2021-01-04 08:00:00,32045.14,1022.64,2.0665,0.0095474,14.1622,0.5604
2021-01-04 09:00:00,31038.63,970.08,2.0197,0.0085406,13.3666,0.53941
2021-01-04 10:00:00,30270.76,965.05,2.0341,0.0086604,13.1731,0.53861
2021-01-04 11:00:00,30743.06,976.8,2.0429,0.0088666,13.34,0.54257
2021-01-04 12:00:00,31219.02,1019.48,2.1214,0.0091784,13.6075,0.57125
2021-01-04 13:00:00,31400.0,1011.92,2.1488,0.0088013,13.4072,0.57042
2021-01-04 14:00:00,32113.68,1043.25,2.2472,0.0090682,13.8362,0.57489
2021-01-04 15:00:00,31745.72,1040.01,2.2786,0.0102286,13.808,0.56919
2021-01-04 16:00:00,31320.31,1010.15,2.1767,0.0099014,13.3317,0.55133
2021-01-04 17:00:00,31024.17,999.47,2.2008,0.0092269,13.2475,0.55073
2021-01-04 18:00:00,31165.16,1015.19,2.232,0.009531,13.4462,0.55635
2021-01-04 19:00:00,31665.51,1042.28,2.4397,0.0097442,13.5981,0.56
2021-01-04 20:00:00,31244.97,1019.69,2.2817,0.0094566,13.4413,0.54945
2021-01-04 21:00:00,31014.27,1006.19,2.2302,0.0095565,13.1956,0.54458
2021-01-04 22:00:00,31332.05,1012.72,2.4263,0.0096541,13.3901,0.55218
2021-01-04 23:00:00,31988.71,1041.43,2.4909,0.0097613,13.5935,0.56082
2021-01-05 00:00:00,32430.49,1095.03,2.4221,0.009815,13.9277,0.55369
2021-01-05 01:00:00,32786.06,1114.52,2.4718,0.0099231,14.0717,0.54943
2021-01-05 02:00:00,32306.64,1078.45,2.3524,0.0096516,13.5436,0.54842
2021-01-05 03:00:00,31200.0,1001.76,2.1927,0.0091122,13.238,0.53393
2021-01-05 04:00:00,30858.98,1004.1,2.2077,0.0090138,13.344,0.52263
2021-01-05 05:00:00,30436.25,989.83,2.1034,0.0090613,13.2323,0.52333
2021-01-05 06:00:00,31123.25,1015.15,2.2132,0.009158,13.5418,0.53264
2021-01-05 07:00:00,30817.77,1003.45,2.1864,0.00905,13.5062,0.53113
2021-01-05 08:00:00,31192.09,1026.97,2.2673,0.00919,13.8087,0.53673
2021-01-05 09:00:00,31569.63,1035.85,2.2922,0.0094177,14.0189,0.55023
2021-01-05 10:00:00,31345.77,1028.31,2.3002,0.0095164,14.1692,0.55496
2021-01-05 11:00:00,31776.66,1042.21,2.384,0.0099142,14.5021,0.55599
2021-01-05 12:00:00,31585.01,1028.99,2.3506,0.0094427,14.1886,0.56517
2021-01-05 13:00:00,31460.01,1023.55,2.206,0.0093502,14.1,0.5582
2021-01-05 14:00:00,32342.33,1047.9,2.27,0.0096252,14.32,0.5628
2021-01-05 15:00:00,32099.98,1052.82,2.1948,0.009402,14.5176,0.56732
2021-01-05 16:00:00,32469.9,1065.84,2.2719,0.0095073,14.613,0.568
2021-01-05 17:00:00,32742.73,1081.73,2.3013,0.00968,14.6156,0.58251
2021-01-05 18:00:00,33372.84,1074.0,2.2831,0.0096087,14.3714,0.56885
2021-01-05 19:00:00,33697.75,1096.33,2.2341,0.0095967,14.4172,0.54921
2021-01-05 20:00:00,33969.17,1098.99,2.2311,0.0095777,14.4243,0.55004
2021-01-05 21:00:00,33699.63,1082.1,2.197,0.0095613,14.4939,0.55363
2021-01-05 22:00:00,34183.42,1108.02,2.1928,0.0100007,14.7038,0.564
2021-01-05 23:00:00,33949.53,1099.56,2.1636,0.00997,14.5162,0.55605
2021-01-06 00:00:00,33918.01,1081.16,2.0676,0.0097789,14.4289,0.54639
2021-01-06 01:00:00,33811.28,1071.82,2.0801,0.0096628,14.2825,0.54171
2021-01-06 02:00:00,33873.3,1077.41,2.0712,0.0098387,14.4399,0.55015
2021-01-06 03:00:00,34117.59,1075.49,1.9893,0.0100413,14.3209,0.54885
2021-01-06 04:00:00,35325.91,1119.17,2.0296,0.0106374,14.7089,0.54285
2021-01-06 05:00:00,34978.91,1101.81,1.994,0.010438,14.3732,0.53665
2021-01-06 06:00:00,35125.51,1113.22,1.9897,0.010663,14.5287,0.55489
2021-01-06 07:00:00,34676.4,1106.59,2.0192,0.0103076,14.3326,0.5591
2021-01-06 08:00:00,34594.28,1110.76,2.0287,0.0104863,14.5588,0.5702
2021-01-06 09:00:00,33919.5,1099.02,2.0344,0.0100792,14.549,0.56619
2021-01-06 10:00:00,34417.36,1114.75,2.1181,0.0100982,15.2445,0.60103
2021-01-06 11:00:00,34918.53,1151.88,2.08,0.010277,15.1684,0.59689
2021-01-06 12:00:00,34929.87,1143.61,2.1378,0.0100804,15.6403,0.62001
2021-01-06 13:00:00,34550.0,1134.99,2.1711,0.0101151,16.4536,0.60794
2021-01-06 14:00:00,34213.46,1133.36,2.1086,0.0099129,15.9716,0.58907
2021-01-06 15:00:00,34566.19,1143.89,2.0813,0.0100276,16.2556,0.592
2021-01-06 16:00:00,34612.41,1173.08,2.0726,0.0101234,16.6733,0.61033
2021-01-06 17:00:00,34898.52,1192.25,2.0548,0.0104823,16.9653,0.6121
2021-01-06 18:00:00,35215.75,1191.78,2.0115,0.010358,16.7003,0.61422
2021-01-06 19:00:00,34816.72,1160.78,1.981,0.0099785,16.0666,0.57001
2021-01-06 20:00:00,36015.88,1197.16,1.9973,0.0103202,16.5562,0.59271
2021-01-06 21:00:00,35874.16,1181.26,2.0022,0.0102362,16.5983,0.59431
2021-01-06 22:00:00,35989.63,1177.97,1.9505,0.0102696,16.6576,0.61408
2021-01-06 23:00:00,36769.36,1208.42,1.9414,0.01042,17.2322,0.60086
2021-01-07 00:00:00,37150.66,1199.8,2.3034,0.010405,16.9236,0.62512
2021-01-07 01:00:00,36871.47,1200.12,2.1625,0.01036,16.7827,0.62345
2021-01-07 02:00:00,36962.37,1196.53,2.1597,0.0102311,16.7492,0.60508
2021-01-07 03:00:00,37454.48,1213.17,2.1755,0.0101942,16.948,0.61006
2021-01-07 04:00:00,37450.95,1210.42,2.1798,0.01016,16.5332,0.59981
2021-01-07 05:00:00,37347.2,1207.27,2.2554,0.0100532,16.6556,0.6062
2021-01-07 06:00:00,37130.84,1198.71,2.2115,0.01006,16.6466,0.62067
2021-01-07 07:00:00,36859.85,1186.21,2.1264,0.0099861,16.4861,0.63527
2021-01-07 08:00:00,37217.55,1195.77,2.1448,0.0099852,16.6866,0.63558
2021-01-07 09:00:00,37492.69,1204.96,2.1753,0.0100397,16.5961,0.6452
2021-01-07 10:00:00,37045.45,1183.51,2.1487,0.0099469,16.2467,0.64909
2021-01-07 11:00:00,37822.09,1201.12,2.2037,0.009998,16.2714,0.68548
2021-01-07 12:00:00,37941.36,1227.2,2.5402,0.01027,16.6015,0.7193
2021-01-07 13:00:00,38161.6,1218.01,2.3284,0.0102007,16.6355,0.71031
2021-01-07 14:00:00,38453.97,1224.5,2.4018,0.010181,16.5636,0.70596
2021-01-07 15:00:00,38970.42,1249.83,2.3834,0.010177,16.9516,0.69097
2021-01-07 16:00:00,39120.01,1263.97,2.4247,0.0100316,16.8273,0.67255
2021-01-07 17:00:00,39732.92,1270.49,2.3124,0.0100392,17.0324,0.69032
2021-01-07 18:00:00,38948.48,1222.73,2.2477,0.009617,16.1299,0.64
2021-01-07 19:00:00,39062.0,1234.14,2.3626,0.009912,16.2823,0.648
2021-01-07 20:00:00,39109.38,1242.72,2.3909,0.0099035,16.2573,0.63168
2021-01-07 21:00:00,39687.11,1254.18,2.4121,0.009891,16.3355,0.62632
2021-01-07 22:00:00,39665.92,1245.47,2.3871,0.0098658,16.0368,0.62061
2021-01-07 23:00:00,39432.28,1224.87,2.3635,0.0097439,15.9628,0.60403
2021-01-08 00:00:00,38793.23,1182.96,2.2691,0.0096964,15.4167,0.58047
2021-01-08 01:00:00,38681.37,1184.52,2.2588,0.0095917,15.4714,0.57878
2021-01-08 02:00:00,37181.74,1111.34,2.2447,0.0094907,14.6501,0.55123
2021-01-08 03:00:00,38347.1,1150.1,2.2619,0.009391,14.9778,0.56117
2021-01-08 04:00:00,38668.92,1169.03,2.249,0.0095027,15.0692,0.56888
2021-01-08 05:00:00,37975.25,1148.12,2.2655,0.0093246,14.7233,0.57141
2021-01-08 06:00:00,38537.94,1175.21,2.2406,0.0094636,15.1027,0.5939
2021-01-08 07:00:00,38930.55,1208.42,2.4095,0.0096214,15.702,0.59281
2021-01-08 08:00:00,38648.95,1199.99,2.3796,0.0095187,15.5202,0.59783
2021-01-08 09:00:00,39358.34,1221.64,2.7279,0.00966,15.7575,0.59276
2021-01-08 10:00:00,40721.45,1251.31,2.9263,0.0097392,16.0166,0.616
2021-01-08 11:00:00,41286.67,1255.43,3.1519,0.0096354,15.7792,0.61443
2021-01-08 12:00:00,41316.91,1249.9,3.6418,0.0095476,15.7661,0.6158
2021-01-08 13:00:00,41311.18,1250.0,3.5802,0.0096355,15.7801,0.63638
2021-01-08 14:00:00,41454.13,1257.0,3.4139,0.0095653,15.903,0.62246
2021-01-08 15:00:00,40829.08,1216.77,3.2992,0.0094263,15.4569,0.60131
2021-01-08 16:00:00,41303.42,1227.22,3.4139,0.0093824,15.6361,0.6008
2021-01-08 17:00:00,41009.07,1215.42,3.4079,0.0094163,15.5592,0.59527
2021-01-08 18:00:00,39920.39,1182.87,3.2344,0.0091791,14.9696,0.59331
2021-01-08 19:00:00,40365.09,1184.75,3.2105,0.0092268,14.9543,0.58562
2021-01-08 20:00:00,39059.15,1145.9,3.065,0.0092048,14.6679,0.55991
2021-01-08 21:00:00,40075.82,1193.63,3.1302,0.0096293,15.0663,0.576
2021-01-08 22:00:00,40674.45,1216.58,3.1841,0.0099777,15.2217,0.59553
2021-01-08 23:00:00,40582.81,1216.93,3.2214,0.00974,15.2381,0.59363
2021-01-09 00:00:00,40283.56,1197.93,3.1407,0.0097636,15.2145,0.56624
2021-01-09 01:00:00,40198.56,1198.27,3.1405,0.0101098,15.1634,0.57439
2021-01-09 02:00:00,39973.0,1199.84,3.081,0.0100114,15.57,0.57588
2021-01-09 03:00:00,40211.59,1226.53,3.1638,0.0101898,15.7288,0.62263
2021-01-09 04:00:00,40206.44,1219.16,3.2612,0.010115,15.5595,0.61821
2021-01-09 05:00:00,39295.37,1185.53,3.125,0.0098809,15.1879,0.60655
2021-01-09 06:00:00,38984.86,1179.8,3.1393,0.0099689,15.0718,0.59165
2021-01-09 07:00:00,39638.61,1196.49,3.0834,0.0100225,15.3736,0.60796
2021-01-09 08:00:00,40172.14,1208.01,3.1791,0.0099486,15.6158,0.606
2021-01-09 09:00:00,40348.35,1211.55,3.2921,0.0100805,15.6433,0.60435
2021-01-09 10:00:00,40376.03,1218.58,3.1891,0.010633,15.9618,0.60564
2021-01-09 11:00:00,40565.77,1220.64,3.1358,0.0101637,15.9854,0.60528
2021-01-09 12:00:00,40874.99,1223.99,3.1577,0.0104263,15.9594,0.62383
