coef_liquidity_in,coef_liquidity_out,dynamical_variables,func_monitor,mobile_window,timeframe,timeframe_grid_search,weighting_factor,window_grid_search,fattore_rendimento_totale,volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,336,24,0,720,908.4943979832716,0.3381542483223873,68.19470819029428,0.7442598064912888,1.338903113551294,1330.7402026722505
5,1,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,336,168,0,360,752.9890427288134,0.3050119303483788,63.96081011454331,0.777325207927408,1.3492476976715106,1175.702811428005
1,1,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,336,168,0,360,732.9496988592817,0.304467588444386,63.96081011454331,0.7756152706782934,1.3443091194259118,1144.3721515541783
5,1,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,336,24,0,360,683.1679783533881,0.3038940562833725,63.96081011454331,0.7698237057077268,1.3348170584504695,1066.5405537105255
1,1,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,336,24,0,360,664.9662560014757,0.3033480582578797,63.96081011454331,0.7680956105797943,1.3298650237483751,1038.082936742704
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,336,-1,0,720,595.4510627817335,0.3434225400175096,68.19470819029428,0.702507871921115,1.278804836010463,871.6967614597668
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,336,-1,0,360,595.4510627817335,0.3434225400175096,68.19470819029428,0.702507871921115,1.278804836010463,871.6967614597668
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,168,720,168,1,720,586.4846044649016,0.3272755493853679,50.36999047549271,0.7194397022080171,1.3469303555583785,1162.3679078314826
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,720,-1,1,720,569.7914481359863,0.3299477433821292,71.72778821114328,0.7183709893967822,1.281786784913154,792.9861805603839
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,720,-1,1,360,569.7914481359863,0.3299477433821292,71.72778821114328,0.7183709893967822,1.281786784913154,792.9861805603839
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,48,720,168,1,360,569.7914481359863,0.3299477433821292,71.72778821114328,0.7183709893967822,1.281786784913154,792.9861805603839
5,1,{},ma_returns_prices,336,336,-1,0,360,547.3547780577865,0.3051072568563449,73.20313215459899,0.7470116787117946,1.2882394219586115,746.354373066893
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,336,336,168,0,360,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,{},ma_returns_prices,336,336,-1,0,360,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,336,336,24,0,720,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,336,336,24,0,360,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,336,336,-1,0,360,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,336,336,168,0,720,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,336,336,-1,0,720,534.8527801463333,0.3046683137655148,73.70324436556844,0.7454611361852524,1.2837289550532316,724.327381707135
1,1,"{'weighting_factor': [0, 0.5, 1]}",ma_returns_prices,48,336,-1,0,360,511.0063292730198,0.3288690828089813,68.19470819029428,0.705288827367152,1.275060500623013,747.8678959221734
5,5,{},ma_returns_prices,168,720,-1,1,360,510.7691241602513,0.3487624218346798,53.66856390453714,0.6844995419304412,1.30833179230703,949.8467763493768
1,5,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,720,24,0,720,503.6949760725267,0.3243958035208664,62.94714156920276,0.7138023085442068,1.2702853086457997,798.5985757905694
1,1,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,720,24,0,720,503.448879652898,0.3244274304373024,62.94714156920276,0.7137212236010088,1.27011773947996,798.2076185310437
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,336,336,24,0,360,497.43198501563313,0.3177943998612755,73.82827241831083,0.7207431802490526,1.2647567646058344,672.4144677297209
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,336,336,-1,0,360,497.43198501563313,0.3177943998612755,73.82827241831083,0.7207431802490526,1.2647567646058344,672.4144677297209
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,336,336,-1,0,720,497.43198501563313,0.3177943998612755,73.82827241831083,0.7207431802490526,1.2647567646058344,672.4144677297209
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,336,336,168,0,720,497.43198501563313,0.3177943998612755,73.82827241831083,0.7207431802490526,1.2647567646058344,672.4144677297209
1,1,"{'coef_liquidity_in': [0, 1, inf], 'coef_liquidity_out': [0, 1, inf]}",ma_returns_prices,336,336,168,0,360,497.43198501563313,0.3177943998612755,73.82827241831083,0.7207431802490526,1.2647567646058344,672.4144677297209
5,1,{},ma_returns_prices,168,720,-1,1,360,484.7469726120345,0.3694187732223084,73.05704294766794,0.6623929004353775,1.242282050495814,662.1496752319296
1,5,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,720,168,0,720,484.1140936835964,0.3245630698308676,62.94714156920276,0.7100705951727565,1.2635201931901443,767.4917107275967
1,1,"{'weighting_factor': [-1, 0, 1]}",ma_returns_prices,336,720,168,0,720,483.8170514140872,0.3245957107658271,62.94714156920276,0.7099775991980706,1.263329263325549,767.0198191339448
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,48,336,24,0,720,479.6698587385124,0.326173488160176,68.19470819029428,0.7028818953157115,1.2647795040158174,701.9164264224222
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,48,336,24,0,360,479.6698587385124,0.326173488160176,68.19470819029428,0.7028818953157115,1.2647795040158174,701.9164264224222
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,48,336,-1,0,360,479.6698587385124,0.326173488160176,68.19470819029428,0.7028818953157115,1.2647795040158174,701.9164264224222
1,1,"{'func_monitor': [<function ma_returns_prices at 0x000001446C0D6560>, <function mstd_returns_prices at 0x000001446C0D6680>]}",ma_returns_prices,48,336,-1,0,720,479.6698587385124,0.326173488160176,68.19470819029428,0.7028818953157115,1.2647795040158174,701.9164264224222
1,1,{},ma_returns_prices,48,336,-1,0,360,479.6698587385124,0.326173488160176,68.19470819029428,0.7028818953157115,1.2647795040158174,701.9164264224222
