,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2022-05-06 21:00:00+00:00,34211.734375,34218.6328125,34080.3359375,34112.8984375,0,0.0,0.0
1,2022-05-06 22:00:00+00:00,34113.45703125,34174.78125,34063.15625,34170.89453125,0,0.0,0.0
2,2022-05-06 23:00:00+00:00,34171.37109375,34237.2421875,34155.12890625,34176.55859375,0,0.0,0.0
3,2022-05-07 00:00:00+00:00,34169.015625,34182.15234375,34109.24609375,34143.44921875,0,0.0,0.0
4,2022-05-07 01:00:00+00:00,34144.7734375,34174.9765625,34089.14453125,34148.765625,0,0.0,0.0
5,2022-05-07 02:00:00+00:00,34148.6875,34154.43359375,34090.56640625,34100.86328125,0,0.0,0.0
6,2022-05-07 03:00:00+00:00,34098.76171875,34098.76171875,33972.890625,33996.27734375,0,0.0,0.0
7,2022-05-07 04:00:00+00:00,33999.3359375,34004.08984375,33925.4921875,33936.6328125,0,0.0,0.0
8,2022-05-07 05:00:00+00:00,33937.453125,34028.51171875,33916.93359375,34018.34375,24363008,0.0,0.0
9,2022-05-07 06:00:00+00:00,34024.08984375,34048.33203125,33950.12109375,33964.09765625,0,0.0,0.0
10,2022-05-07 07:00:00+00:00,33968.48046875,34077.31640625,33954.55078125,34071.91015625,0,0.0,0.0
11,2022-05-07 08:00:00+00:00,34067.015625,34168.265625,34042.625,34161.29296875,0,0.0,0.0
12,2022-05-07 09:00:00+00:00,34154.71875,34167.203125,34116.5859375,34133.875,0,0.0,0.0
13,2022-05-07 10:00:00+00:00,34128.5625,34220.62890625,34108.64453125,34184.25,0,0.0,0.0
14,2022-05-07 11:00:00+00:00,34218.8671875,34251.890625,34172.26953125,34175.2109375,0,0.0,0.0
15,2022-05-07 12:00:00+00:00,34182.8984375,34182.8984375,34118.8671875,34145.41015625,0,0.0,0.0
16,2022-05-07 13:00:00+00:00,34149.5546875,34167.0234375,34044.38671875,34046.4140625,0,0.0,0.0
17,2022-05-07 14:00:00+00:00,34050.76953125,34116.1015625,34037.94921875,34114.8046875,0,0.0,0.0
18,2022-05-07 15:00:00+00:00,34114.81640625,34167.00390625,34096.71875,34101.46484375,0,0.0,0.0
19,2022-05-07 16:00:00+00:00,34105.0078125,34119.21484375,34055.953125,34081.65234375,0,0.0,0.0
20,2022-05-07 17:00:00+00:00,34101.87109375,34101.87109375,34034.984375,34037.1953125,0,0.0,0.0
21,2022-05-07 18:00:00+00:00,34037.796875,34122.125,34027.29296875,34055.26171875,0,0.0,0.0
22,2022-05-07 19:00:00+00:00,34057.35546875,34072.9609375,34021.125,34021.43359375,0,0.0,0.0
23,2022-05-07 20:00:00+00:00,34020.33203125,34020.33203125,33911.65625,33951.05859375,55166976,0.0,0.0
24,2022-05-07 21:00:00+00:00,33936.7578125,33950.15625,33418.83203125,33418.83203125,1099261952,0.0,0.0
25,2022-05-07 22:00:00+00:00,33281.5390625,33446.453125,33128.015625,33242.390625,1582385152,0.0,0.0
26,2022-05-07 23:00:00+00:00,33218.453125,33778.97265625,33218.453125,33670.44921875,1796481024,0.0,0.0
27,2022-05-08 00:00:00+00:00,33645.734375,33648.1171875,33366.86328125,33366.86328125,507183104,0.0,0.0
28,2022-05-08 01:00:00+00:00,33362.27734375,33407.6328125,33081.37890625,33104.85546875,1165969408,0.0,0.0
29,2022-05-08 02:00:00+00:00,33071.15234375,33091.55859375,32724.7109375,32809.69140625,2553980928,0.0,0.0
30,2022-05-08 03:00:00+00:00,32803.0859375,32814.53515625,32599.716796875,32707.234375,1791715328,0.0,0.0
