Data inizio,Data fine,Lunghezza periodo (giorni),Soldi in banca iniziali ($),Deposito iniziale ($),Investimento base,Strategia Giacomo,Percentuale ritiro eccesso,Tempo controllo,Strategia VA,Vendita VA,Prima VA,Tempo acquisto VA,Quantità VA,Liquidità cumulativa finale,Ricarica cumulativa finale,Deposito finale ($),Deposito + liquidità cumulativa finali ($),Bitcoin finali,Bitcoin finali ($),Deposito + bitcoin + liquidità cumulativa finali ($),Max delta neg su deposito + liquidità ($),Max delta pos su deposito + liquidità ($),Tasse pagate,Guadagno finale su deposito + bitcoin + liquidità cumulativa ($),Guadagno / max_delta_neg,Guadagno - max_delta_neg
2020-02-01,2021-11-01,639,99000,1000,336,True,0.9345521332108434,58,True,True,False,1,1000,113185.728120552,6402798.652841348,379490.78430374037,492676.5124242924,10.394998817826446,638999.9999999999,1131676.5124242923,97748.37070468116,545147.9325933136,26022.60104103999,1130677.1844242923,11.56722282195691,1032928.8137196111
2020-02-01,2021-11-01,639,99000,1000,101,True,0.9829504830105219,248,True,True,True,1,1000,121684.49136141772,3580085.2523806156,385991.99751549726,507676.48887691495,10.394998817826446,638999.9999999999,1146676.4888769148,93844.92953414416,713608.9555487842,14728.692360180508,1145676.690876915,12.208189580024955,1051831.7613427707
2020-02-01,2021-11-01,639,99000,1000,960,True,0.914360982366306,520,True,True,True,1,1000,121958.36114475015,3306169.9032473336,409352.4352043128,531310.7963490629,10.394998817826446,638999.9999999999,1170310.7963490628,92975.73768048301,679543.5641613334,13677.905823847015,1169312.7163490627,12.576536046075587,1076336.9786685798
2020-02-01,2021-11-01,639,99000,1000,66,True,0.9894325450288507,295,True,True,True,1,1000,121053.75402347764,3709652.08216551,406089.80720844376,527143.5612319214,10.394998817826446,638999.9999999999,1166143.5612319212,93880.34480175552,923491.5599009993,15284.936727617733,1165143.6932319212,12.410943906227894,1071263.3484301656
2020-02-01,2021-11-01,639,99000,1000,559,True,0.9842277475237226,474,True,True,False,1,1000,121552.6033644031,3253930.593874946,389944.129857269,511496.7332216721,10.394998817826446,638999.9999999999,1150496.733221672,93381.49546083006,561605.2200093392,13428.023448379075,1149497.851221672,12.309696322049609,1056116.3557608419
2020-02-01,2021-11-01,639,99000,1000,754,True,0.9477607026795855,51,True,False,True,1,1000,289855.0357947707,4586812.28822321,463075.0716924274,752930.1074871981,11.863981662546957,729301.120204714,1482231.227691912,68177.0365141199,1299292.1282684058,18896.55435918215,1481232.735691912,21.726270477965688,1413055.699177792
2020-02-01,2021-11-01,639,99000,1000,451,True,0.9081925813602888,46,True,False,False,1,1000,299913.9523706485,4512785.192680947,206502.0640522406,506416.0164228891,14.83164340275779,911728.8323409274,1418144.8487638165,59440.04090758207,614723.7160860025,18101.02156374105,1417145.7507638165,23.84160120224695,1357705.7098562345
2020-02-01,2021-11-01,639,99000,1000,252,True,0.9332044218049984,639,True,False,False,1,1000,357165.19077977055,739283.4344773878,800419.969849189,1157585.1606289595,10.394998817826448,639000.0,1796585.1606289595,58516.575195383644,1156585.1606289595,4172.197723000241,1795585.6646289595,30.68507783706748,1737069.0894335757
2020-02-01,2021-11-01,639,99000,1000,424,True,0.9561911793344225,46,True,False,True,1,1000,301187.9625544778,4714771.799517378,232385.51496815542,533573.4775226333,14.831643402757788,911728.8323409273,1445302.3098635606,58342.53445169364,1067696.138325091,18960.793324918774,1444303.1578635606,24.755577923331604,1385960.623411867
2020-02-01,2021-11-01,639,99000,1000,375,True,0.9833821133134373,75,True,True,False,1,1000,114877.64604317132,5461830.144283647,382864.158060049,497741.80410322035,10.394998817826446,638999.9999999999,1136741.8041032203,97056.45278206184,547850.2908908874,22258.88346907368,1135742.5541032203,11.701875780001002,1038686.1013211585
2020-02-01,2021-11-01,639,99000,1000,584,True,0.9590442800941282,346,True,False,True,1,1000,344197.49548011855,760609.1296129036,235819.28491216947,580016.780392288,17.883415210116627,1099326.9474612572,1679343.7278535452,58180.63608547037,865473.7271696823,3127.541764796947,1678344.8958535453,28.84713899291114,1620164.2597680748
2020-02-01,2021-11-01,639,99000,1000,790,True,0.9735909844316757,493,True,False,False,1,1000,351405.93962663104,766454.3926004274,191095.46591168744,542501.4055383184,17.883415210116627,1099326.9474612572,1641828.3529995757,57972.19193895791,541501.4055383184,3062.1708835718446,1640829.9329995757,28.303741468449136,1582857.7410606178
2020-02-01,2021-11-01,639,99000,1000,125,True,0.997404997645779,286,True,False,True,1,1000,348036.68395158084,1178132.2796265907,278706.1351680011,626742.819119582,14.83164340275779,911728.8323409274,1538471.6514605095,58645.08202357336,1254274.4628268608,4885.081693842848,1537471.9014605095,26.21655300682327,1478826.8194369362
2020-02-01,2021-11-01,639,99000,1000,42,True,0.9034814812845342,355,True,True,False,1,1000,121029.46926854417,3167372.9824154587,390292.44055904273,511321.9098275869,10.394998817826446,638999.9999999999,1150321.9098275867,93904.62955668899,561430.396615254,13079.71887457323,1149321.9938275868,12.239247407219217,1055417.3642708978
